[11.2286303, 47.4513588]
[11.5246323, 46.4843423]
[12.2560197, 49.0264545]
[6.2831395, 45.0010393]
[11.3571077, 47.4815666]
[11.3084925, 47.6134565]
[9.143131, 48.6173391]
[11.9496432, 47.5985791]
[8.0167776, 47.9189737]
[6.7832299, 49.7208007]
[10.5518424, 47.54862]
[15.5492997, 47.0427878]
[9.6205943, 47.1516392]
[9.3112216, 48.7824383]
[12.6952157, 47.0741844]
[10.647688, 46.7444225]
[10.6706547, 46.7687255]
[13.8031771, 48.780679]
[13.8028955, 48.7848959]
[13.3889715, 48.9785352]
[12.9729999, 49.1659]
[13.1097845, 49.2031833]
[13.1100722, 49.1133011]
[11.6961076, 47.6607583]
[7.1644661, 48.5126166]
[11.5247915, 47.6641902]
[15.4625265, 47.1976213]
[14.2579887, 48.324191]
[13.7710285, 47.6607391]
[13.8152215, 47.6771723]
[13.8210565, 47.6877876]
[10.5597004, 46.6789898]
[14.4046703, 46.349873]
[10.2032853, 49.893292]
[16.363003, 48.3207592]
[9.2975581, 48.7702677]
[16.2462362, 48.2108252]
[8.5626818, 47.5754613]
[9.250903, 49.195983]
[8.2752536, 48.6687895]
[15.1303641, 48.4985587]
[15.2036324, 48.5333494]
[14.4224649, 45.9694506]
[14.4712925, 45.928586]
[15.2878715, 48.5317627]
[8.1792581, 47.8288623]
[8.8684007, 48.7433216]
[13.1150112, 47.7139866]
[13.1268638, 47.7516774]
[14.809024, 48.732493]
[9.4015807, 48.8627463]
[6.1053792, 46.341325]
[5.9953229, 46.3223089]
[5.8638035, 46.1504854]
[6.8033234, 46.2031288]
[6.7904526, 46.1545819]
[9.0340893, 44.4094541]
[14.2021706, 47.6695096]
[10.9618282, 49.510384]
[11.5516289, 48.1698523]
[16.957836, 48.153341]
[6.8874075, 45.8787077]
[14.463901, 46.1298579]
[7.806639, 46.7319632]
[7.8195205, 46.7589904]
[12.9604782, 49.1702239]
[12.9422827, 49.1732347]
[12.9227995, 49.1764528]
[13.2732424, 49.0885068]
[12.9654528, 47.5943452]
[13.0178961, 47.6581505]
[16.760565, 47.977162]
[14.1368338, 47.0646825]
[14.03933, 47.0634486]
[7.0889916, 49.7294826]
[6.8327465, 49.6749321]
[9.6245636, 47.5888366]
[8.0459128, 48.1275291]
[7.0162929, 48.0376142]
[11.7054318, 47.6655924]
[9.6122609, 47.9359677]
[8.1176623, 47.940116]
[13.4843166, 47.2282734]
[16.333068, 48.2763418]
[9.1210463, 47.4352617]
[16.3452146, 48.2781918]
[16.2947311, 48.2707697]
[16.3138802, 48.2673982]
[16.2125752, 48.1712618]
[16.2847476, 48.2589043]
[5.9618365, 46.2872022]
[9.1486182, 47.4606738]
[9.1351857, 47.4092414]
[8.1841608, 47.9011909]
[14.6500985, 47.4945231]
[14.6187924, 47.499249]
[14.7198066, 47.5506792]
[6.6118286, 49.756886]
[7.3863566, 46.4541081]
[13.6141787, 49.2246345]
[8.2021233, 48.6057023]
[10.4575328, 48.7772117]
[10.806582, 46.1674851]
[10.6065497, 46.1858428]
[13.8652269, 46.2277024]
[13.8340636, 46.2386466]
[8.8306408, 46.1121639]
[16.584377, 49.2043821]
[16.5866987, 49.1940454]
[11.9051941, 46.5642358]
[11.9218183, 46.5564255]
[11.8847157, 46.5166435]
[11.888123, 46.5542512]
[11.8992845, 46.5487812]
[9.106776, 47.2206236]
[9.0778242, 47.2477634]
[10.5702282, 47.0357643]
[7.3732311, 46.3995867]
[7.3740932, 46.4236234]
[7.3544865, 46.4401944]
[7.7975858, 46.0214848]
[7.8022288, 45.9890139]
[7.7300014, 45.9384108]
[9.2489832, 49.110529]
[9.4973646, 46.800915]
[7.902544, 48.0102021]
[7.7012369, 47.7773294]
[9.3127749, 47.154808]
[11.8497125, 49.8287671]
[9.333454, 47.3407855]
[16.7579534, 48.5830418]
[17.1816011, 48.3332074]
[17.1790926, 48.3150544]
[18.0155196, 48.9605137]
[8.6653419, 48.8959556]
[5.8938506, 45.4965654]
[14.3464448, 46.5947817]
[6.196179, 45.6927213]
[14.2544394, 48.3851944]
[14.4115818, 48.2648485]
[10.1294357, 47.3793462]
[10.451459, 47.3313983]
[10.2969711, 47.2732488]
[10.3591771, 47.2944185]
[10.3946347, 47.3177012]
[10.4177308, 47.3233002]
[10.4410681, 47.3258135]
[10.3569087, 47.3370382]
[9.0597509, 46.8084207]
[11.1185992, 49.5139853]
[9.2734404, 48.4492994]
[9.2719766, 48.4508802]
[11.4143917, 49.772888]
[17.2771469, 48.3771376]
[17.3030982, 48.3755776]
[17.2904384, 48.3629137]
[17.2287245, 48.381068]
[17.1986516, 48.3628047]
[17.2772085, 48.4365985]
[13.7263703, 47.3689205]
[11.2835566, 49.6275001]
[11.2291601, 49.6343891]
[13.4749166, 47.2890495]
[10.6279679, 48.8516177]
[11.5235816, 46.3113226]
[11.323604, 48.2099005]
[10.6687118, 48.7856886]
[11.2756034, 49.5221701]
[6.0547724, 45.318075]
[11.2401424, 49.536165]
[8.6484967, 49.6461172]
[6.9060785, 43.4549195]
[10.2218292, 47.1494581]
[17.4069946, 48.524983]
[9.7909072, 48.7562667]
[17.0933671, 48.1818507]
[16.9544753, 49.6801754]
[13.9328006, 46.4591047]
[13.8878352, 46.4552785]
[10.1876242, 47.0441055]
[10.1001147, 47.0793072]
[10.1348834, 47.0639552]
[10.145947, 47.061067]
[10.7747967, 46.8907029]
[7.2697869, 46.0989462]
[7.2790726, 46.1035489]
[7.2122944, 46.1224104]
[6.9055073, 43.4762605]
[6.9148765, 43.4662584]
[13.77866, 47.3737011]
[11.3592962, 49.5540613]
[11.1258576, 49.4714529]
[17.3174604, 48.3838421]
[7.8538829, 46.1125484]
[7.8765309, 46.1177635]
[11.206642, 49.4699455]
[9.3538263, 48.5432515]
[9.3392139, 48.5499025]
[6.7247865, 46.928583]
[7.1983663, 48.3102622]
[6.1978852, 45.3524661]
[5.6036227, 44.465465]
[15.6054217, 46.6037379]
[6.4772911, 45.9587668]
[11.5188777, 46.7122879]
[5.9355521, 45.5374102]
[14.5415901, 46.3088586]
[14.5367454, 46.2996823]
[7.8101588, 47.6265276]
[11.9798124, 49.9876869]
[9.3418379, 48.8522156]
[7.6798346, 47.7935944]
[15.0804364, 47.5843879]
[11.141276, 49.4756473]
[6.3511352, 46.6839925]
[9.018135, 47.2806624]
[12.1767419, 47.7666692]
[17.1538984, 48.3099493]
[11.4554569, 46.171736]
[11.4792198, 46.220685]
[11.6219478, 46.3251155]
[11.6326015, 46.3270715]
[11.5517295, 46.2991643]
[11.6751093, 46.3376652]
[11.6704242, 46.3562573]
[9.1688903, 44.3267618]
